Name,Country,INN,YearSum,Id
pattern,France,2932755947490,893672,165
candidate,USA,4501162765298,731304,166
time,Latvia,4183111652681,432278,167
president,France,1477352424390,978347,168
short,Latvia,3806963416666,681315,169
bar,Poland,3166536415140,328169,170
change,German,6989819255041,255223,171
total,Latvia,5926765921999,217479,172
sense,Poland,7533552253227,802539,173
it,Ukraine,7888843449291,375054,174
much,Poland,1436973040016,421561,175
determine,German,8178684519501,732507,176
speak,Poland,5611744856298,824063,177
enter,Ukraine,2782329578090,508346,178
collection,Russia,7153481782245,333168,179
style,Russia,7557052902134,601099,180
over,German,8251698176840,735312,181
official,Russia,3149401796276,576555,182
some,Poland,6656126496789,468086,183
they,Poland,9012284787507,560988,184
anything,France,9427078890443,757250,185
save,Russia,2347671774291,633361,186
thank,Russia,5806370263490,518607,187
particular,USA,8438518652878,803084,188
owner,France,6329734299053,976615,189
dinner,German,2773842970952,849618,190
state,Russia,2618010616695,581315,191
action,France,8318317697165,785483,192
investment,German,2873549957663,883875,193
develop,USA,3878348252867,466897,194
price,Russia,9479188385904,642231,195
such,German,2600275434231,618562,196
so,Latvia,5765739887944,589438,197
mind,Russia,8522057948416,868448,198
soldier,Ukraine,6592379755694,811380,199
number,German,2655169411405,278261,200
throughout,German,9538872438454,900124,201
research,USA,7587213411914,955220,202
thousand,France,7325901543093,782835,203
wear,Russia,2530064372310,797699,204
half,Russia,1685632008864,787039,205
finish,Poland,6261346145615,427102,206
stuff,France,6302470492867,391589,207
get,Poland,5665725209687,963152,208
into,Poland,9255191510363,327320,209
development,Ukraine,9992401797949,970907,210
manager,German,5536844810581,268509,211
full,Ukraine,3756748334847,297607,212
laugh,Russia,7403290593707,700163,213
tough,Latvia,9414581815233,750217,214
great,France,9724283922637,686631,215
including,Ukraine,1274837819369,152598,216
happy,Ukraine,8710083318661,455737,217
dark,Latvia,9284364052016,455066,218
treatment,Latvia,4238102989048,229389,219
instead,German,8949267836309,792073,220
including,Poland,2374068103369,135001,221
range,Ukraine,1971160515796,876000,222
enter,Ukraine,2294725588192,990338,223
she,German,7766490130352,632637,224
at,USA,6793547561303,551700,225
spend,USA,6022006904369,474712,226
like,France,8004130851823,792650,227
expert,USA,5093226752189,733808,228
control,Ukraine,8051084917719,151943,229
ever,German,2786063529102,354271,230
land,German,9521736738251,886585,231
bad,Russia,5377603782148,579938,232
TV,USA,7129200557306,684689,233
structure,Russia,2899075385476,506792,234
blood,Latvia,1005869071199,407415,235
Democrat,Ukraine,5812394423147,440028,236
nature,German,2869040371484,522536,237
statement,France,3889591820157,647383,238
along,USA,1337132128386,914875,239
listen,USA,2408362313834,401717,240
plant,USA,9627171456885,237153,241
would,Ukraine,6762840666230,685250,242
conference,German,4789600300556,423179,243
season,German,2591214798352,163527,244
go,Ukraine,4208591707467,665423,245
worker,France,9172058330396,792257,246
dinner,USA,9519953495645,838681,247
leave,USA,3783139894885,665468,248
himself,Poland,8021296046192,918797,249
news,Russia,7825688539477,668845,250
experience,France,2850651152602,255260,251
official,Poland,2435838969061,625254,252
fly,France,6573662466714,659664,253
professor,Poland,2059518300122,409742,254
PM,USA,3557585495919,999272,255
including,Ukraine,3981512998788,551545,256
area,France,5342468201928,633586,257
evening,France,7289234574218,776675,258
foreign,Ukraine,8284832606064,561709,259
decade,USA,4974672359055,957989,260
even,Ukraine,8860078648430,671182,261
color,Latvia,9101110861359,948622,262
skill,Ukraine,2215037179068,897159,263
beautiful,Latvia,1174817253860,257407,264
professor,German,9670899028328,165057,265
nice,USA,5435527596275,155344,266
method,Latvia,4065153291567,189239,267
town,Ukraine,8505214291542,503830,268
effort,Russia,9117535709462,331209,269
for,France,6112414448324,645253,270
lay,German,6044277777973,879579,271
wall,France,5907264289307,320310,272
apply,Poland,5761405072361,805411,273
social,Russia,3387308719813,912446,274
behavior,Latvia,8511551322659,427585,275
serious,German,2581659688490,267623,276
in,Russia,7313115442454,611239,277
plant,France,7813522177744,531091,278
free,Latvia,2672440684575,863410,279
successful,USA,3540484550149,568636,280
sort,USA,3467792805036,591605,281
box,France,3091879238822,736536,282
early,USA,7497479087875,907725,283
choice,Ukraine,1966057580323,201248,284
both,Latvia,2280066938353,170804,285
late,Russia,2858532086527,781287,286
without,German,4336299902000,170777,287
different,German,6333666761624,572993,288
while,USA,9270402120999,855515,289
clearly,Latvia,4684240773339,450558,290
prepare,France,3459917731073,786645,291
send,Russia,7283240741057,377301,292
up,German,8391238064233,375866,293
between,USA,1355902201766,223999,294
available,USA,1842986361366,995580,295
adult,USA,2953282631401,978300,296
capital,German,8002034600177,254916,297
bed,France,6622809909765,432385,298
professional,German,3678007648226,299279,299
reality,Ukraine,4916928719577,812538,300
worry,German,3920913384009,687496,301
believe,Poland,1766956323348,181627,302
and,USA,9508296805207,568877,303
on,Poland,2034875425609,659096,304
weight,Latvia,7313080565539,438912,305
protect,France,4920493781058,771484,306
tend,Ukraine,9282284316462,207072,307
hear,USA,4320505534393,623468,308
reality,Poland,5875151631623,249459,309
sister,Ukraine,1778933717367,408331,310
beat,Latvia,3659362558467,353067,311
feel,France,4534696501595,377547,312
blue,Ukraine,2513376629472,914942,313
meeting,Ukraine,1628138058678,858178,314
push,Poland,4482241663722,653295,315
according,France,5739556234192,309081,316
key,Ukraine,8324465630215,246041,317
factor,France,1491344897723,844799,318
many,Latvia,9821245344192,304849,319
red,France,1071864704715,380813,320
room,USA,4657461715350,696574,321
above,France,8980740383949,904774,322
total,USA,4531524932884,660340,323
north,Poland,4179612112707,295693,324
three,Latvia,9772825822329,145025,325
front,Russia,9129456032981,653552,326
nice,Russia,6551069017292,586943,327
best,Latvia,4168255306759,663361,328
avoid,USA,3233630482815,993696,329
marriage,Poland,8172705741074,680326,330
reason,France,5532106397218,658630,331
I,Latvia,4759455887638,994246,332
participant,Russia,1307103391544,552431,333
prepare,France,1911792044877,210436,334
last,Russia,6897044723123,415159,335
design,Latvia,3720374613273,181314,336
quite,USA,7172427678002,269756,337
truth,German,2506295379796,623556,338
attention,USA,9263514668867,950373,339
public,Latvia,4210221400317,789036,340
television,German,3380854236308,767526,341
spend,Ukraine,4708324364893,447007,342
fast,German,2962048800508,515731,343
whole,Ukraine,3135911467482,340965,344
others,USA,2850747797335,989676,345
hot,Latvia,2357962809854,977693,346
get,France,6425781205669,114692,347
act,France,8909770713903,109843,348
land,German,2914787723754,420831,349
speech,Latvia,2376128029033,205929,350
door,German,4633345293791,710961,351
big,German,2397162239055,351268,352
wall,USA,5519038046661,278901,353
part,Latvia,3128382772478,472826,354
order,Poland,6617171855146,168298,355
next,Poland,7862226732476,683897,356
view,Latvia,7771258510151,558789,357
while,Latvia,8326214936860,520561,358
short,German,2100825709906,907534,359
wrong,Latvia,5179779555459,172353,360
use,Latvia,8467424515001,526842,361
foreign,Ukraine,4164150096790,734713,362
assume,Latvia,6284136292092,891657,363
view,France,4551579489387,967383,364
bad,Russia,5005780123027,839225,365
opportunity,Ukraine,2870366308400,711973,366
themselves,USA,6043550276772,662826,367
knowledge,France,5966272634314,125223,368
play,USA,1885322276919,525901,369
who,France,5301491397183,884424,370
other,USA,7530518379772,397990,371
we,Poland,6076082366914,739923,372
eye,German,2289310642233,454453,373
create,Ukraine,7875301472692,217085,374
this,USA,1266918920945,311705,375
hit,German,3117116189586,773200,376
through,USA,2962579782369,508832,377
past,Russia,9104486501809,894968,378
guy,Russia,7468235064706,294129,379
ready,France,5224709937042,567548,380
low,Latvia,2315565413020,110968,381
care,Russia,1033611110294,625670,382
top,USA,7058069757775,376416,383
edge,Latvia,9567344263824,902628,384
foreign,Latvia,4650714827470,627525,385
six,Ukraine,1312254187471,504318,386
size,Poland,1779792919836,370539,387
thus,German,9331720496947,870434,388
oil,Poland,5301656545533,458169,389
world,Poland,9988199033387,170461,390
season,Poland,4938580590582,843878,391
professor,USA,5648981349121,484338,392
evening,USA,6407545388737,250091,393
whom,Russia,9456324289568,106985,394
everybody,German,3183257620764,559463,395
into,Ukraine,6847098100677,467571,396
catch,USA,4759691714733,458388,397
represent,Russia,2544262976137,210505,398
daughter,Latvia,4530663315286,523760,399
space,France,6890486086369,749365,400
look,Poland,9376671751657,871576,401
full,USA,7502265446450,794658,402
Mrs,France,2124352368458,921769,403
test,Poland,8142460496571,297722,404
similar,Ukraine,7135220539039,680222,405
save,France,4032172396091,889841,406
woman,Poland,9677305539070,450511,407
visit,German,1350044058238,831675,408
boy,USA,4860318825333,106863,409
position,German,6288865642111,980273,410
happen,Latvia,3796909611650,817841,411
cost,Ukraine,7480201423243,962525,412
medical,Poland,7718075970775,292484,413
small,France,2245477305992,715151,414
future,German,9924465769096,456550,415
idea,France,3156570764757,895890,416
themselves,Ukraine,1054154603071,374752,417
ball,Ukraine,7736181976026,235190,418
medical,USA,7781681003877,437932,419
cup,Poland,9219981987801,961233,420
writer,Poland,8402635561721,261932,421
health,German,8366130186299,214551,422
military,Poland,2314289550686,819463,423
easy,Poland,3194058208473,946406,424
program,USA,1049239049971,640238,425
laugh,USA,7316927898516,950393,426
within,France,9873433726377,802907,427
front,Poland,3801276710228,362372,428
board,Poland,7002947413191,970295,429
these,Poland,2833908138610,793548,430
boy,Latvia,5220524290874,849585,431
positive,Ukraine,6010563431657,846434,432
seat,Ukraine,9223416061393,672197,433
whether,France,6768620859693,327494,434
prevent,France,5083451775977,161429,435
mind,Poland,2333690407857,600201,436
Democrat,German,3110235722301,194123,437
letter,USA,9191541703057,196275,438
later,German,9095994898027,684599,439
yourself,German,6166595268757,958232,440
less,German,6058649671443,613917,441
career,Ukraine,9441717143324,696092,442
begin,Russia,6218781195967,109392,443
really,Latvia,9047010018497,951101,444
score,Poland,3677168125682,483069,445
build,France,3235189553324,231988,446
nation,Poland,1643143622196,293934,447
toward,Latvia,5859412800174,279567,448
several,USA,3736362380590,906861,449
public,France,4724376007429,983002,450
message,German,4061114381579,794957,451
huge,Poland,5779931699778,846397,452
chair,Russia,8497787394633,573304,453
together,France,4950336866409,446354,454
provide,Ukraine,7578394590522,613218,455
land,Latvia,4703071055611,832763,456
hope,Russia,4749073662066,517254,457
Democrat,Latvia,2796851509304,435827,458
forget,Poland,1952610903540,185681,459
environmental,Russia,6364083043850,861019,460
respond,France,1299485603825,458039,461
among,France,8902476683632,262346,462
tell,Ukraine,7435032543391,829702,463
report,Latvia,8163560660108,712945,464
commercial,France,9010009250002,351459,465
table,Poland,7202420089263,145940,466
some,Latvia,1517245904556,536988,467
role,Latvia,7775108134885,366427,468
rule,France,4805562115523,673119,469
sell,France,4996225831169,691749,470
enter,France,5253840548885,724031,471
by,Latvia,7046470041965,550738,472
morning,USA,7411752758318,217809,473
should,German,8684158961458,989340,474
high,Russia,7767027799354,283520,475
home,Russia,1016116739324,148328,476
evidence,German,8573147317426,807489,477
story,France,6711194649708,772299,478
than,German,7509179107964,317380,479
degree,German,2408935570384,783087,480
table,USA,9069630537852,638170,481
truth,Latvia,7328984882494,576743,482
here,Latvia,6553328471842,161038,483
still,France,7480257034088,959317,484
financial,German,7351101720847,924124,485
actually,German,3263158685572,915547,486
seem,Poland,5567657376361,153322,487
seven,Russia,9115048559127,456286,488
type,Latvia,9346362757332,625072,489
as,France,4460175034260,901634,490
kitchen,Latvia,5234297531269,745741,491
debate,Poland,9149456352652,134035,492
save,Russia,4681505967247,592178,493
table,Ukraine,9682296473219,277473,494
Congress,Poland,5775302956544,875289,495
record,USA,7113408998541,865006,496
act,USA,9493923648305,453508,497
its,Poland,3227002204595,414882,498
month,Ukraine,9153491233226,738555,499
sell,France,4817611885503,165855,500
cultural,France,6879276961044,204747,501
result,German,9030242945111,551930,502
name,USA,3354667687054,593044,503
wind,Russia,9727330035735,710312,504
Mr,Latvia,5901754352207,963375,505
case,Poland,6094322671371,638691,506
hair,USA,3573452719237,851127,507
election,Ukraine,7025932488253,529254,508
yes,France,2001287985260,167447,509
former,Ukraine,6201906612603,912358,510
government,Latvia,8916832385675,240625,511
build,Latvia,4834950319038,957136,512
ahead,Russia,7823784074751,714412,513
describe,Poland,9242236850023,977154,514
fact,Latvia,8523027564576,971951,515
necessary,France,1583996386322,692824,516
true,France,5577765796611,477000,517
up,USA,9675121848929,636530,518
tend,France,4785469828530,965480,519
not,Ukraine,8010466220189,638863,520
laugh,Latvia,9143131536373,329961,521
production,Ukraine,4716926842449,709830,522
agreement,German,5698441021456,559481,523
find,German,2026314105886,252317,524
remain,Poland,8869721306511,424435,525
might,USA,4243709325092,905852,526
surface,France,9285980760479,179318,527
contain,Latvia,5032843178322,126653,528
hot,USA,5018917231205,394281,529
carry,Ukraine,2435582691345,141121,530
training,USA,4447124468890,110650,531
court,France,6897208126385,194892,532
Mr,Ukraine,6611109728790,557738,533
check,German,6801162479975,180263,534
spend,Poland,6790029160481,866938,535
firm,Poland,6546825981547,219078,536
cup,France,9546330546676,912730,537
capital,Poland,4585682020979,269462,538
wish,Poland,7952880161487,925808,539
structure,Poland,7847608850357,923392,540
information,German,5161680275605,324237,541
when,France,9452647527447,940305,542
nothing,German,6462263545972,191111,543
same,Russia,9070446423937,261290,544
his,Poland,9747863874484,779106,545
describe,USA,4397228553594,116843,546
campaign,Latvia,5537126267449,128617,547
game,Ukraine,4286119994582,791585,548
off,Latvia,3864163161468,548564,549
by,France,8873850947629,428639,550
its,Latvia,1620990975355,802654,551
care,Latvia,4086796230835,506714,552
bit,Poland,4854661040365,960365,553
I,Ukraine,2523604487826,881487,554
more,France,6811597118765,107356,555
return,Russia,6974600054897,483780,556
us,Latvia,8536725711044,668745,557
article,Poland,2655048785543,409901,558
certain,USA,3211991700079,583615,559
eat,Latvia,1956390749614,912363,560
knowledge,German,7922312456773,772039,561
morning,Ukraine,6560358309814,675124,562
side,German,7135999124900,676825,563
act,USA,2919885789626,375010,564
else,Latvia,7413205417964,352922,565
site,France,7697217212277,115145,566
not,France,8035470008220,780923,567
for,Poland,8423253792082,813734,568
new,USA,7132481509198,378389,569
create,Russia,1844418563212,523474,570
south,Ukraine,1033899737410,800271,571
west,USA,7091433426804,866261,572
factor,France,8181282410470,298909,573
feeling,Russia,5164155210602,417226,574
own,USA,7095820632382,741133,575
view,Latvia,6102062767572,138260,576
ask,Ukraine,4598077690297,578559,577
amount,Poland,9601489543710,517809,578
stage,France,8275911115039,630558,579
also,USA,4345977218364,889675,580
purpose,Ukraine,5317829169757,129424,581
through,German,3697025489474,807027,582
who,Ukraine,4467418581817,895075,583
relate,Ukraine,3117070777361,345742,584
culture,USA,8100669143986,915215,585
artist,German,8601391120781,310064,586
street,France,7257030865497,148680,587
work,German,4727760287372,398374,588
day,Ukraine,2490751737641,604734,589
toward,Ukraine,4497342356123,417261,590
old,France,5243307666547,859527,591
data,German,7982384026104,409116,592
though,Russia,9542593446491,826328,593
beat,USA,4749163900733,424835,594
front,France,7275434338577,856143,595
animal,France,4713945205620,812798,596
health,Poland,5094029386061,972395,597
blood,Russia,2015190706033,409902,598
occur,Russia,7712857266350,951400,599
third,Poland,3618957215230,719144,600
very,Russia,5049315744259,934692,601
section,German,4057409743347,296570,602
travel,Ukraine,2722752150135,478310,603
firm,German,3800366580351,234408,604
instead,Poland,2422655919418,547144,605
hit,German,7843859401512,218383,606
threat,Ukraine,3800754272558,428645,607
green,Russia,8209691013857,120537,608
local,Ukraine,1785751601299,973539,609
develop,USA,9779698485290,735788,610
nation,Russia,2070750394185,564276,611
loss,Poland,6019058253689,158309,612
remember,Poland,9244684625368,593442,613
despite,USA,4677570469802,857289,614
born,USA,5025926129825,109587,615
rise,France,8726928776977,818435,616
certain,USA,8593220721474,413814,617
real,France,5539149363868,622292,618
individual,USA,1170482624909,388419,619
tree,Poland,8669283684362,980860,620
boy,Latvia,7573161495873,839799,621
traditional,Ukraine,7490823790635,747970,622
memory,Ukraine,9954797606967,189771,623
contain,Latvia,9189117260477,862652,624
sing,Ukraine,6828198489092,103468,625
company,German,8504596500801,321290,626
book,Ukraine,3139510079787,147836,627
assume,USA,6380206962350,623237,628
able,Poland,8681928351226,760390,629
yet,Russia,5927893402433,887904,630
feel,Ukraine,6559047147316,207089,631
all,Ukraine,4475225946793,606098,632
side,Poland,6437984393878,912234,633
manage,Ukraine,4385531197097,470665,634
institution,Latvia,7272828029134,932207,635
across,USA,8021748320435,231196,636
color,Latvia,1420018117813,949303,637
car,Russia,2588788497067,609710,638
play,USA,9691080207395,491907,639
cost,German,7041425573659,698398,640
set,Ukraine,5465653369383,124613,641
important,Ukraine,6453793444980,709971,642
control,Poland,7550730783650,340652,643
it,Latvia,6267441789288,775849,644
room,Russia,1405052864304,289678,645
out,Ukraine,9025504101153,274872,646
trouble,France,6806389248238,418322,647
today,Russia,4492883673149,963861,648
up,Ukraine,8492981879594,840498,649
significant,German,4534973634370,736755,650
affect,Latvia,4447219578065,173067,651
father,France,3470934520782,498760,652
take,Latvia,4179083811122,455391,653
travel,Russia,4221384648010,751521,654
Republican,German,1908464439929,366170,655
laugh,Latvia,6773716415584,926797,656
use,German,2610168996616,581796,657
only,German,1517804336925,604840,658
especially,Russia,1654265605436,332732,659
occur,German,9535903405279,936259,660
star,USA,1746086253991,172906,661
attorney,Ukraine,4472882884042,527276,662
structure,France,1205205972300,121863,663
modern,Poland,4134748340073,101522,664
necessary,Latvia,8326194724363,101978,665
memory,Russia,2902507042850,329554,666
idea,France,9036865477529,888033,667
pull,USA,7550749402689,416366,668
course,Ukraine,2357868523000,579657,669
among,Russia,4386218132598,273386,670
threat,Poland,4389097073044,543157,671
social,Poland,2004604907046,296391,672
attack,Poland,5765680207061,329306,673
teacher,USA,4550517755615,932203,674
computer,Poland,8173945997186,408572,675
Mr,USA,2062155002960,519698,676
data,USA,2051189772862,943075,677
their,Latvia,1451424621563,871555,678
to,USA,3093254878666,692865,679
argue,France,5722632027930,504881,680
stuff,France,9473996857184,362950,681
thousand,USA,2834738568806,699452,682
such,Russia,1604200353607,410948,683
more,Russia,7277517410073,704247,684
tough,Poland,9713823265306,753487,685
unit,USA,8528472585314,869868,686
strong,Ukraine,6539694823953,564681,687
third,Latvia,7122555243917,685576,688
as,France,7292055038496,935985,689
senior,Latvia,9918906307087,391037,690
under,USA,5235493800026,725124,691
floor,German,7200864390205,157382,692
various,Russia,3582357975133,574369,693
media,Russia,1910479647830,173867,694
cold,German,1251975302035,591076,695
always,Latvia,1410666222905,508830,696
pressure,German,7568206819014,913924,697
represent,USA,1188189012987,867448,698
term,Ukraine,7036024001870,643267,699
perform,Ukraine,1847325266983,899987,700
service,France,9055691236144,314732,701
opportunity,Ukraine,4833978044290,386261,702
step,Russia,4206191441289,393511,703
chance,Poland,5332065471611,779771,704
kind,France,8783612733301,299812,705
compare,Poland,4321148244196,120916,706
bag,USA,3224294203515,969012,707
too,Ukraine,7078733414379,918002,708
offer,Latvia,8952175354378,744306,709
serve,Ukraine,1004158334111,411604,710
account,USA,2605980252839,978125,711
college,Poland,4150666601920,344427,712
city,Ukraine,5186924292709,254962,713
baby,Russia,3205714026740,221881,714
begin,German,5242745212047,753866,715
item,France,1728377349706,145858,716
read,Latvia,6950753387647,961735,717
front,Poland,8106156686462,720186,718
rate,USA,3428980303850,925895,719
buy,Poland,6269428216622,955945,720
still,Latvia,5009032321290,137201,721
lay,France,1166420214282,714371,722
suffer,USA,5144834530144,371065,723
rock,USA,4657456022057,812657,724
anything,Poland,1167986343082,336260,725
protect,Russia,8983538023433,285479,726
hit,France,8931783623209,989486,727
price,USA,2012002503104,293276,728
air,Latvia,8185617190364,354832,729
pretty,Poland,5039379567797,910524,730
girl,German,4441098101604,894216,731
board,Ukraine,5388837678927,241313,732
kind,USA,1257254008462,675879,733
morning,Poland,3192658722185,554788,734
more,USA,8463817097584,631534,735
character,Poland,5759762263172,661969,736
those,Russia,6328402321135,791293,737
lawyer,Ukraine,8611869338888,638819,738
most,Ukraine,9265863255750,447688,739
eight,Ukraine,5533801218101,274723,740
lose,France,3487768103708,660298,741
learn,France,4839038206470,359746,742
maybe,Russia,5202834575410,861836,743
structure,France,9257092222350,498349,744
much,Poland,5979662388991,661988,745
election,USA,2629302257396,957710,746
million,Poland,3713667578618,920807,747
forward,France,1773938383363,623548,748
actually,France,4295136391742,631577,749
what,Ukraine,4780529597499,651367,750
prepare,Ukraine,4700406797007,499555,751
recently,Russia,4154686381150,950539,752
analysis,Poland,5490973953847,133839,753
realize,Latvia,2210611553282,652639,754
create,Latvia,2230862615780,560244,755
interview,France,7795432090985,520703,756
fund,Latvia,7780162225358,984344,757
blue,Russia,9334585950264,837796,758
which,German,5439738040367,411873,759
book,Ukraine,7287732103146,710393,760
approach,Poland,5250268059331,737769,761
end,USA,8022872258904,555133,762
season,Ukraine,3057787881853,730305,763
father,German,8567944526996,285567,764
interest,Latvia,1766887550959,281930,765
their,France,5697482291135,279324,766
themselves,USA,2749296350432,751410,767
model,German,5972147624202,416688,768
machine,Latvia,3505698114414,832453,769
face,German,2056306009008,609874,770
in,Ukraine,3588229416066,317518,771
television,USA,7448888276572,570718,772
happy,USA,5409517294614,746966,773
place,German,1261061761426,214757,774
audience,German,6091346574303,471679,775
foot,France,8836044744276,523683,776
teach,France,1574798908178,840272,777
appear,Ukraine,3483127867362,299718,778
ready,Ukraine,1420821111861,611539,779
garden,USA,4437885750555,258157,780
table,France,7436095914015,495162,781
best,Poland,5220960972985,493726,782
store,Latvia,3936401605850,647846,783
my,USA,5111085985328,531799,784
wife,Poland,3581223762247,325918,785
feel,Poland,8733541556488,870623,786
begin,Poland,1799653121980,886139,787
sit,Russia,4854483448502,979032,788
loss,Ukraine,4349149007745,985980,789
here,German,1942275256625,478477,790
guess,Ukraine,6067062906581,365908,791
also,USA,9142549830742,505576,792
hair,Ukraine,2557341939193,955283,793
the,German,4666393971266,715254,794
day,Poland,5570211165358,317446,795
mission,USA,4315528699295,475762,796
painting,Latvia,7314705890871,613594,797
end,Poland,5127107377047,544607,798
money,Russia,6185687581674,976515,799
stay,Poland,6583556188681,340054,800
child,Ukraine,3450673681220,778747,801
experience,USA,8938763427483,489759,802
